drug_a,drug_b,severity,clinical_effect,safer_alternative
Warfarin,Ibuprofen,Major,Significantly increased risk of gastrointestinal bleeding and bruising.,Acetaminophen (Paracetamol)
Simvastatin,Clarithromycin,Major,Increased simvastatin exposure leading to a significantly elevated risk of myopathy and rhabdomyolysis.,Azithromycin or Amoxicillin
Sertraline,Tramadol,Major,"Increased risk of serotonin syndrome (symptoms: agitation, confusion, tachycardia, hyperthermia, muscle rigidity).",Morphine or Oxycodone (with caution)
Clopidogrel,Omeprazole,Moderate,"Reduced antiplatelet effect of clopidogrel, potentially increasing the risk of cardiovascular events like stent thrombosis.",Pantoprazole or Famotidine
Digoxin,Verapamil,Major,"Increased digoxin serum levels, leading to a high risk of toxicity (nausea, vomiting, dizziness, cardiac arrhythmias).",Amlodipine
Spironolactone,Potassium Supplement,Major,"Severe hyperkalemia, which can lead to life-threatening cardiac arrhythmias.","Loop Diuretic (e.g., Furosemide)"
Lithium,Ibuprofen,Major,"Increased lithium serum levels, resulting in lithium toxicity (nausea, tremor, confusion, ataxia, renal damage).",Acetaminophen
Methotrexate,Trimethoprim/Sulfamethoxazole,Major,"Additive myelosuppression (neutropenia, thrombocytopenia) and increased risk of pancytopenia and methotrexate toxicity.",Pentamidine (for PJP prophylaxis)
Sildenafil,Nitroglycerin,Major,"Profound hypotension, syncope, myocardial infarction, or stroke.","Alternative angina treatment (e.g., Ranolazine)"
Phenytoin,Ciprofloxacin,Moderate,"Increased phenytoin levels (risk of toxicity: nystagmus, ataxia, drowsiness) and decreased ciprofloxacin levels (risk of therapeutic failure).",Levofloxacin
Warfarin,Fluconazole,Major,"Significantly increased warfarin levels and anticoagulant effect, leading to a high risk of bleeding.",Terbinafine (oral) or topical antifungal
Valproic Acid,Lamotrigine,Major,"Doubling or more of lamotrigine serum levels, dramatically increasing the risk of serious skin rashes, including Stevens-Johnson syndrome and toxic epidermal necrolysis.",Levetiracetam
Cyclosporine,St. John's Wort,Major,"Dramatically reduced cyclosporine levels, leading to subtherapeutic immunosuppression and high risk of organ rejection in transplant patients.",Avoid all herbal supplements
Theophylline,Ciprofloxacin,Major,"Markedly increased theophylline serum concentrations, leading to toxicity (nausea, vomiting, seizures, cardiac arrhythmias).",Levofloxacin or Ceftriaxone
Rifampin,Warfarin,Major,"Greatly reduced warfarin effect, leading to subtherapeutic anticoagulation and risk of thrombosis.","Alternative antibiotic if possible (e.g., Doxycycline)"
Codeine,Paroxetine,Major,Greatly reduced analgesic efficacy of codeine due to impaired conversion to morphine.,Morphine
Allopurinol,Azathioprine,Major,"Dramatically increased levels of azathioprine and its active metabolites, leading to severe myelosuppression (pancytopenia) and increased risk of infection.",Febuxostat (with extreme caution and dose adjustment of azathioprine)
Linezolid,Sertraline,Major,Increased risk of serotonin syndrome.,Vancomycin
Diltiazem,Metoprolol,Moderate,"Increased risk of bradycardia, AV block, and hypotension.",Amlodipine (with metoprolol)
Warfarin,Acetaminophen,Moderate,"Increased anticoagulant effect and risk of bleeding, especially with regular use of high doses (>2g per day).",Use lowest effective dose
Levothyroxine,Calcium Carbonate,Moderate,"Reduced levothyroxine absorption, leading to decreased efficacy and symptoms of hypothyroidism.",Space administration by 4 hours
Digoxin,Furosemide,Moderate,"Increased risk of digoxin toxicity (arrhythmias, nausea, vomiting) even at therapeutic digoxin levels.",Monitor electrolytes closely
Olanzapine,Diazepam,Moderate,"Increased risk of excessive sedation, drowsiness, respiratory depression, and impaired motor skills.",Use lower doses and monitor
Ethinyl Estradiol,Carbamazepine,Major,"Significantly reduced contraceptive efficacy, leading to unplanned pregnancy and breakthrough bleeding.",Non-hormonal IUD or higher-dose OC
Warfarin,Amiodarone,Major,Markedly increased warfarin effect and risk of bleeding.,Reduce warfarin dose proactively
